GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jpacman-framework,nl.tudelft.jpacman.game,GameFactory,17,0,0,0,5,0,3,0,3,0
jpacman-framework,nl.tudelft.jpacman.game,Game,83,0,10,0,28,0,12,0,7,0
jpacman-framework,nl.tudelft.jpacman.game,SinglePlayerGame,35,0,4,0,10,0,6,0,4,0
jpacman-framework,nl.tudelft.jpacman.npc,Ghost,87,0,6,0,17,0,8,0,5,0
jpacman-framework,nl.tudelft.jpacman.sprite,EmptySprite,12,0,0,0,5,0,5,0,5,0
jpacman-framework,nl.tudelft.jpacman.sprite,AnimatedSprite,175,0,18,0,43,0,20,0,11,0
jpacman-framework,nl.tudelft.jpacman.sprite,PacManSprites,112,20,4,0,24,1,11,1,9,1
jpacman-framework,nl.tudelft.jpacman.sprite,SpriteStore,98,1,10,0,21,1,9,1,4,1
jpacman-framework,nl.tudelft.jpacman.sprite,ImageSprite,122,0,12,0,17,0,13,0,7,0
jpacman-framework,nl.tudelft.jpacman,Launcher,195,0,6,0,46,0,24,0,21,0
jpacman-framework,nl.tudelft.jpacman,PacmanConfigurationException,9,0,0,0,4,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.ui,ScorePanel,113,0,8,0,26,0,11,0,7,0
jpacman-framework,nl.tudelft.jpacman.ui,PacManUiBuilder,157,0,18,0,33,0,18,0,9,0
jpacman-framework,nl.tudelft.jpacman.ui,PacManUI,107,0,8,0,27,0,8,0,4,0
jpacman-framework,nl.tudelft.jpacman.ui,BoardPanel,149,0,10,0,30,0,10,0,5,0
jpacman-framework,nl.tudelft.jpacman.ui,PacKeyListener,36,0,6,0,12,0,8,0,5,0
jpacman-framework,nl.tudelft.jpacman.ui,ButtonPanel,54,0,6,0,13,0,6,0,3,0
jpacman-framework,nl.tudelft.jpacman.board,Square,34,73,10,6,3,20,8,8,0,8
jpacman-framework,nl.tudelft.jpacman.board,Direction,0,52,0,0,0,11,0,4,0,4
jpacman-framework,nl.tudelft.jpacman.board,Board,21,94,9,13,1,17,9,9,0,7
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory.Wall,11,0,0,0,5,0,3,0,3,0
jpacman-framework,nl.tudelft.jpacman.board,Unit,64,49,13,7,13,14,14,6,4,6
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory.Ground,11,0,0,0,5,0,3,0,3,0
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory,18,87,1,7,2,17,3,6,2,3
jpacman-framework,nl.tudelft.jpacman.level,LevelFactory,71,0,5,0,16,0,8,0,4,0
jpacman-framework,nl.tudelft.jpacman.level,CollisionInteractionMap.InverseCollisionHandler,12,0,0,0,5,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.level,CollisionInteractionMap,178,0,24,0,46,0,19,0,7,0
jpacman-framework,nl.tudelft.jpacman.level,MapParser,294,0,28,0,66,0,24,0,8,0
jpacman-framework,nl.tudelft.jpacman.level,PlayerFactory,19,0,0,0,5,0,3,0,3,0
jpacman-framework,nl.tudelft.jpacman.level,Level,201,256,42,22,42,66,31,15,3,11
jpacman-framework,nl.tudelft.jpacman.level,Pellet,15,0,0,0,6,0,3,0,3,0
jpacman-framework,nl.tudelft.jpacman.level,DefaultPlayerInteractionMap,39,0,0,0,12,0,5,0,5,0
jpacman-framework,nl.tudelft.jpacman.level,Level.NpcMoveTask,24,12,2,0,6,4,2,1,1,1
jpacman-framework,nl.tudelft.jpacman.level,PlayerCollisions,76,0,14,0,24,0,14,0,7,0
jpacman-framework,nl.tudelft.jpacman.level,Player,60,0,6,0,20,0,9,0,6,0
jpacman-framework,nl.tudelft.jpacman.level,LevelFactory.RandomGhost,8,0,0,0,3,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Inky,96,0,16,0,23,0,12,0,4,0
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Pinky,55,0,10,0,13,0,8,0,3,0
jpacman-framework,nl.tudelft.jpacman.npc.ghost,GhostFactory,38,0,0,0,7,0,5,0,5,0
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Navigation.Node,39,0,2,0,13,0,6,0,5,0
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Blinky,54,0,10,0,13,0,8,0,3,0
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Clyde,91,0,12,0,21,0,9,0,3,0
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Navigation,189,0,32,0,40,0,19,0,3,0
